Listing Title,Area,Distances to Railway Stations,Building Age,Stories Tall,Floor,Price,Administrative Costs,Deposit,Gratuity,Rooms,Square Meters,Links to Listing
ドルフケルン　C棟,茨城県水戸市見川町,"ＪＲ常磐線/水戸駅 歩53分,ＪＲ常磐線/赤塚駅 歩62分,ＪＲ常磐線/偕楽園駅 歩34分",築24年,2階建,1階,6万円,-,6万円,-,2LDK,60.5m,https://suumo.jp/chintai/jnc_000055015706/?bc=100183691732
アイビースクエア四季の杜Ａ棟,茨城県龍ヶ崎市久保台３,"ＪＲ常磐線/佐貫駅 バス10分 (バス停)久保台２丁目 歩3分,関東鉄道竜ヶ崎線/入地駅 歩48分,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩51分",築16年,2階建,1-2階,7.3万円,3200円,-,3万円,3LDK,80.59m,https://suumo.jp/chintai/jnc_000053167971/?bc=100174835317
Ｕハイツ２１,栃木県宇都宮市清原台４,"ＪＲ宇都宮線/宇都宮駅 バス44分 (バス停)清原台３丁目 歩4分,東武宇都宮線/東武宇都宮駅 バス51分 (バス停)清原台３丁目 歩4分,東北新幹線/宇都宮駅 バス44分 (バス停)清原台３丁目 歩4分",築29年,2階建,1階,4万円,-,-,-,2DK,38.88m,https://suumo.jp/chintai/jnc_000053970947/?bc=100183618822
小正貸家,埼玉県富士見市大字鶴馬,"東武東上線/ふじみ野駅 歩26分,東武東上線/鶴瀬駅 歩29分",築50年,2階建,1階,6万円,-,6万円,6万円,3K,57.51m,https://suumo.jp/chintai/jnc_000055050076/?bc=100183862502
ルミエール松原ＩＩ,東京都世田谷区松原１,"京王線/代田橋駅 歩2分,京王線/明大前駅 歩9分,京王井の頭線/東松原駅 歩15分",築66年,2階建,1階,7.1万円,3000円,7.1万円,7.1万円,ワンルーム,23.19m,https://suumo.jp/chintai/jnc_000055057719/?bc=100183998613
榎2丁目戸建,東京都武蔵村山市榎２,"西武拝島線/武蔵砂川駅 歩32分,多摩都市モノレール/桜街道駅 歩33分,多摩都市モノレール/上北台駅 歩34分",築45年,2階建,1階,8万円,-,16万円,-,2LDK,52.04m,https://suumo.jp/chintai/jnc_000055051592/?bc=100183861043
ＪＲ中央線 三鷹駅 2階建 築28年,東京都三鷹市新川５,"ＪＲ中央線/三鷹駅 歩49分,ＪＲ中央線/吉祥寺駅 歩51分,京王井の頭線/三鷹台駅 歩38分",築28年,2階建,1階,9万円,-,9万円,9万円,2DK,45.9m,https://suumo.jp/chintai/jnc_000015562504/?bc=100183517854
コ－ポ鈴木,東京都墨田区墨田３,"京成押上線/八広駅 歩7分,東武伊勢崎線/東向島駅 歩9分,京成押上線/京成曳舟駅 歩12分",築69年,2階建,2階,5.4万円,-,5.4万円,5.4万円,ワンルーム,15.95m,https://suumo.jp/chintai/jnc_000055137993/?bc=100184227930
コーポ初台,東京都渋谷区本町５,"都営大江戸線/西新宿五丁目駅 歩12分,京王新線/幡ヶ谷駅 歩12分,東京メトロ丸ノ内線/中野新橋駅 歩14分",築64年,2階建,2階,5.4万円,3000円,-,-,1K,15m,https://suumo.jp/chintai/jnc_000055084769/?bc=100184024222
コーポ初台,東京都渋谷区本町５,"都営大江戸線/西新宿五丁目駅 歩12分,京王新線/幡ヶ谷駅 歩12分,東京メトロ丸ノ内線/中野新橋駅 歩14分",築64年,2階建,2階,5.4万円,3000円,-,-,1K,15m,https://suumo.jp/chintai/jnc_000055097883/?bc=100184058193
京王新線 幡ヶ谷駅 2階建 築64年,東京都渋谷区本町５,"京王新線/幡ヶ谷駅 歩12分,東京メトロ丸ノ内線/中野新橋駅 歩14分,都営大江戸線/西新宿五丁目駅 歩12分",築64年,2階建,2階,5.4万円,3000円,-,-,ワンルーム,15m,https://suumo.jp/chintai/jnc_000055057770/?bc=100183897177
グランメゾン前橋,群馬県前橋市横手町,"ＪＲ両毛線/前橋大島駅 歩77分,ＪＲ高崎線/倉賀野駅 歩79分,ＪＲ八高線/倉賀野駅 歩79分",新築,2階建,1階,4.3万円,2000円,-,4.3万円,1K,28.87m,https://suumo.jp/chintai/jnc_000055008945/?bc=100183668094
グランメゾン前橋,群馬県前橋市横手町,"ＪＲ両毛線/前橋大島駅 歩77分,ＪＲ高崎線/倉賀野駅 歩79分,ＪＲ八高線/倉賀野駅 歩79分",新築,2階建,1階,4.4万円,2000円,-,4.4万円,1K,28.87m,https://suumo.jp/chintai/jnc_000055008948/?bc=100183668099
グランメゾン前橋,群馬県前橋市横手町,"ＪＲ両毛線/前橋大島駅 歩77分,ＪＲ高崎線/倉賀野駅 歩79分,ＪＲ八高線/倉賀野駅 歩79分",新築,2階建,1階,4.4万円,2000円,-,4.4万円,1K,28.87m,https://suumo.jp/chintai/jnc_000055008946/?bc=100183668095
グランメゾン前橋,群馬県前橋市横手町,"ＪＲ両毛線/前橋大島駅 歩77分,ＪＲ高崎線/倉賀野駅 歩79分,ＪＲ八高線/倉賀野駅 歩79分",新築,2階建,1階,4.4万円,2000円,-,4.4万円,1K,28.87m,https://suumo.jp/chintai/jnc_000055008944/?bc=100183668102
グランメゾン前橋,群馬県前橋市横手町,"ＪＲ両毛線/前橋大島駅 歩77分,ＪＲ高崎線/倉賀野駅 歩79分,ＪＲ八高線/倉賀野駅 歩79分",新築,2階建,1階,4.5万円,2000円,-,4.5万円,1K,28.87m,https://suumo.jp/chintai/jnc_000055008949/?bc=100183668098
グランメゾン前橋,群馬県前橋市横手町,"ＪＲ両毛線/前橋大島駅 歩77分,ＪＲ高崎線/倉賀野駅 歩79分,ＪＲ八高線/倉賀野駅 歩79分",新築,2階建,1階,4.5万円,2000円,-,4.5万円,1K,28.87m,https://suumo.jp/chintai/jnc_000055008947/?bc=100183668092
メゾネットミタカ,東京都三鷹市下連雀６,"ＪＲ中央線/三鷹駅 歩24分,ＪＲ中央線/吉祥寺駅 歩30分,ＪＲ中央線/武蔵境駅 歩39分",築50年,2階建,1-2階,6.4万円,3000円,6.4万円,6.4万円,2K,31m,https://suumo.jp/chintai/jnc_000050901256/?bc=100183517082
メゾネットミタカ,東京都三鷹市下連雀６,"ＪＲ中央線/三鷹駅 歩24分,ＪＲ中央線/吉祥寺駅 歩30分,ＪＲ中央線/武蔵境駅 歩39分",築50年,2階建,1-2階,7.1万円,3000円,7.1万円,7.1万円,2DK,32.17m,https://suumo.jp/chintai/jnc_000050901257/?bc=100183517270
メゾネットミタカ,東京都三鷹市下連雀６,"ＪＲ中央線/三鷹駅 歩24分,ＪＲ中央線/吉祥寺駅 歩30分,ＪＲ中央線/武蔵境駅 歩39分",築50年,2階建,1-2階,27万円,3000円,54万円,54万円,3LDK,113.15m,https://suumo.jp/chintai/jnc_000052638982/?bc=100183517982
PHILIPS PLACE HOUSE,東京都三鷹市大沢１,"ＪＲ中央線/三鷹駅 歩57分,西武多摩川線/多磨駅 歩31分,京王線/西調布駅 歩33分",築15年,2階建,1-2階,26万円,-,52万円,26万円,3LDK,132m,https://suumo.jp/chintai/jnc_000054381716/?bc=100184197697
メゾンカーメルIIＡ,群馬県邑楽郡千代田町大字舞木,東武小泉線/篠塚駅 歩71分,築4年,2階建,1階,5万円,2000円,-,-,1LDK,50.09m,https://suumo.jp/chintai/jnc_000041701696/?bc=100183786689
ハイツ歩絵夢の森,群馬県前橋市関根町,"ＪＲ上越線/群馬総社駅 歩52分,ＪＲ上越線/八木原駅 歩64分,上毛電鉄/中央前橋駅 歩76分",築23年,2階建,2階,3万円,-,7.5万円,-,ワンルーム,27m,https://suumo.jp/chintai/jnc_000055032388/?bc=000076272773
伊勢原戸建,神奈川県伊勢原市大山,"小田急小田原線/伊勢原駅 バス24分 (バス停)良弁滝 歩3分,小田急小田原線/鶴巻温泉駅 車20分(7.8km),小田急小田原線/東海大学前駅 車24分(9.3km)",築49年,平屋,1階,7.8万円,-,7.8万円,7.8万円,3SDK,140m,https://suumo.jp/chintai/jnc_000054974791/?bc=100183521576
ユーアイマンションＡ,群馬県佐波郡玉村町大字後箇,ＪＲ高崎線/新町駅 歩49分,築28年,2階建,2階,3.1万円,-,3.1万円,-,1K,24.84m,https://suumo.jp/chintai/jnc_000054653302/?bc=100184030388
仁戸名ツインハウスＡ・Ｂ,千葉県千葉市中央区仁戸名町,京成千原線/大森台駅 バス25分 (バス停)辺田台 歩21分,築31年,2階建,2階,3.1万円,2300円,3.1万円,-,2DK,44.6m,https://suumo.jp/chintai/jnc_000053669852/?bc=100133608505
ユーアイマンションE,群馬県佐波郡玉村町大字後箇,ＪＲ高崎線/新町駅 歩49分,築28年,2階建,2階,3.2万円,-,3.2万円,-,1K,26.49m,https://suumo.jp/chintai/jnc_000054653300/?bc=100184028604
ビレッジハウス東金井2号棟,群馬県太田市東金井町,"東武伊勢崎線/韮川駅 歩21分,東武伊勢崎線/太田駅 歩32分,東武桐生線/三枚橋駅 歩58分",築55年,4階建,2階,3.2万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000054366885/?bc=100182252987
ビレッジハウス東金井2号棟,群馬県太田市東金井町,"東武伊勢崎線/韮川駅 歩21分,東武伊勢崎線/太田駅 歩32分,東武桐生線/三枚橋駅 歩58分",築55年,4階建,2階,3.2万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000053109906/?bc=100182252985
ビレッジハウス東金井2号棟,群馬県太田市東金井町,"東武伊勢崎線/韮川駅 歩21分,東武伊勢崎線/太田駅 歩32分,東武桐生線/三枚橋駅 歩58分",築55年,4階建,2階,3.2万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000053844927/?bc=100182252986
ビレッジハウス東金井1号棟,群馬県太田市東金井町,"東武伊勢崎線/韮川駅 歩21分,東武伊勢崎線/太田駅 歩32分,東武桐生線/三枚橋駅 歩58分",築55年,4階建,2階,3.2万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000054366881/?bc=100182252984
シェルコート牧園 D,茨城県つくば市牧園,ＪＲ常磐線/ひたち野うしく駅 歩52分,築25年,2階建,2階,3.5万円,2000円,3.5万円,-,ワンルーム,30.36m,https://suumo.jp/chintai/jnc_000055083362/?bc=100184001836
ＪＲ日光線 鹿沼駅 2階建 築5年,栃木県鹿沼市上石川,"ＪＲ日光線/鹿沼駅 歩72分,東武宇都宮線/西川田駅 歩74分,ＪＲ日光線/鶴田駅 歩60分",築5年,2階建,1階,4.5万円,2500円,-,4.5万円,1LDK,45.09m,https://suumo.jp/chintai/jnc_000055032355/?bc=100143952818
上毛電鉄 心臓血管センター駅 2階建 築4年,群馬県前橋市富士見町小暮,上毛電鉄/心臓血管センター駅 歩73分,築4年,2階建,1階,5.7万円,3000円,5.7万円,5.7万円,1LDK,42m,https://suumo.jp/chintai/jnc_000055103592/?bc=100184093052
レジデンス加曽利ヒルズ,千葉県千葉市若葉区加曽利町,"ＪＲ総武線/千葉駅 バス19分 (バス停)加曽利中入口 歩3分,千葉都市モノレール/桜木駅 歩27分,千葉都市モノレール/小倉台駅 歩30分",築49年,2階建,1-2階,12.8万円,2000円,-,-,6SLDK,156.49m,https://suumo.jp/chintai/jnc_000055131317/?bc=100184204570
シェーンブルグ,茨城県つくば市桜２,つくばエクスプレス/つくば駅 歩53分,築24年,2階建,2階,4万円,1000円,4万円,-,1K,19.91m,https://suumo.jp/chintai/jnc_000055049550/?bc=100183856089
ＪＲ八高線 北藤岡駅 2階建 新築,群馬県佐波郡玉村町大字板井,"ＪＲ八高線/北藤岡駅 歩76分,ＪＲ高崎線/倉賀野駅 歩82分,ＪＲ高崎線/新町駅 歩80分",新築,2階建,1階,5.9万円,2000円,-,5.9万円,1LDK,54.19m,https://suumo.jp/chintai/jnc_000054755309/?bc=100184003398
ＪＲ八高線 北藤岡駅 2階建 新築,群馬県佐波郡玉村町大字板井,"ＪＲ八高線/北藤岡駅 歩76分,ＪＲ高崎線/倉賀野駅 歩82分,ＪＲ高崎線/新町駅 歩80分",新築,2階建,1階,6.5万円,2000円,-,6.5万円,2LDK,57.54m,https://suumo.jp/chintai/jnc_000054755311/?bc=100184003403
ＵＲ高根台,千葉県船橋市高根台３,"新京成線/高根木戸駅 歩18分,新京成線/高根公団駅 歩18分,新京成線/滝不動駅 歩23分",築58年,4階建,4階,4.18万円,3150円,8.36万円,-,2DK,39.29m,https://suumo.jp/chintai/jnc_000055057063/?bc=100183898807
東武宇都宮線 東武宇都宮駅 2階建 築25年,栃木県宇都宮市若草３,"東武宇都宮線/東武宇都宮駅 歩51分,ＪＲ宇都宮線/宇都宮駅 歩68分,東武宇都宮線/南宇都宮駅 歩71分",築25年,2階建,1階,4.2万円,-,-,-,2LDK,58m,https://suumo.jp/chintai/jnc_000055037731/?bc=100183812115
ＪＲ京浜東北線 王子駅 2階建 築66年,東京都北区西ケ原２,"ＪＲ京浜東北線/王子駅 歩9分,東京メトロ南北線/西ヶ原駅 歩2分,ＪＲ京浜東北線/上中里駅 歩11分",築66年,2階建,2階,3.5万円,2000円,3.5万円,-,ワンルーム,14m,https://suumo.jp/chintai/jnc_000050286214/?bc=100184233442
ＪＲ京浜東北線 王子駅 2階建 築66年,東京都北区西ケ原２,"ＪＲ京浜東北線/王子駅 歩9分,東京メトロ南北線/西ヶ原駅 歩2分,ＪＲ京浜東北線/上中里駅 歩11分",築66年,2階建,2階,3.8万円,3000円,3.8万円,-,ワンルーム,14m,https://suumo.jp/chintai/jnc_000043000331/?bc=100184233450
プレジール寺崎Ｃ棟,栃木県宇都宮市鶴田町,ＪＲ宇都宮線/宇都宮駅 バス35分 (バス停)三の沢 歩10分,築32年,2階建,2階,4.3万円,1000円,4.3万円,-,2DK,40.17m,https://suumo.jp/chintai/jnc_000054971957/?bc=100183524312
東北新幹線 宇都宮駅 2階建 築23年,栃木県宇都宮市下栗町,"東北新幹線/宇都宮駅 バス20分 (バス停)下栗 歩8分,東武宇都宮線/東武宇都宮駅 車15分(5.3km),ＪＲ日光線/鶴田駅 車17分(7.1km)",築23年,2階建,1階,4.3万円,2000円,-,-,2DK,45m,https://suumo.jp/chintai/jnc_000055008851/?bc=100183932602
ＪＲ両毛線 前橋大島駅 3階建 築5年,群馬県前橋市新堀町,"ＪＲ両毛線/前橋大島駅 歩72分,ＪＲ両毛線/駒形駅 歩79分,ＪＲ高崎線/倉賀野駅 歩95分",築5年,3階建,2階,5.3万円,3000円,-,5.3万円,1LDK,41.23m,https://suumo.jp/chintai/jnc_000054771078/?bc=100184098621
ＪＲ常磐線 水戸駅 2階建 築15年,茨城県水戸市吉沢町,ＪＲ常磐線/水戸駅 歩60分,築15年,2階建,2階,4.5万円,-,4.5万円,-,1K,27.08m,https://suumo.jp/chintai/jnc_000054971821/?bc=100128458972
ハイムアプリコット,東京都三鷹市新川６,"ＪＲ中央線/三鷹駅 歩45分,京王線/つつじヶ丘駅 歩31分,京王線/仙川駅 歩30分",築32年,2階建,1階,4.6万円,1000円,4.6万円,-,ワンルーム,16.11m,https://suumo.jp/chintai/jnc_000051836301/?bc=100183517105
ハイムアプリコット,東京都三鷹市新川６,"ＪＲ中央線/三鷹駅 歩45分,京王線/つつじヶ丘駅 歩31分,京王線/仙川駅 歩30分",築32年,2階建,1階,4.8万円,1000円,4.8万円,-,ワンルーム,16.11m,https://suumo.jp/chintai/jnc_000055004633/?bc=100183639312
Ｊ‘ｓ那珂川Ａ棟,栃木県那須郡那珂川町小川,ＪＲ東北本線/西那須野駅 バス40分 (バス停)馬頭線 歩15分,築21年,2階建,2階,4.7万円,1000円,4.7万円,-,3DK,50.08m,https://suumo.jp/chintai/jnc_000051159097/?bc=100164980167
相武台団地,神奈川県相模原市南区相武台団地２,"小田急小田原線/相武台前駅 歩23分,小田急小田原線/小田急相模原駅 歩25分",築53年,4階建,4階,4.8万円,-,-,-,2LDK,49.37m,https://suumo.jp/chintai/jnc_000055071256/?bc=100183479003
ウィットリッシュ,茨城県水戸市吉沢町,ＪＲ常磐線/水戸駅 歩71分,築4年,2階建,1階,6.4万円,4000円,-,6.4万円,1LDK,47m,https://suumo.jp/chintai/jnc_000053655824/?bc=100184183926
ＪＲ武蔵野線 新座駅 2階建 築36年,埼玉県新座市本多１,ＪＲ武蔵野線/新座駅 歩40分,築36年,2階建,2階,4.9万円,1000円,9.8万円,-,2DK,33.47m,https://suumo.jp/chintai/jnc_000050734071/?bc=100162944960
エール　ド　ランジュＢ,群馬県邑楽郡千代田町舞木東,東武小泉線/篠塚駅 歩67分,築8年,2階建,1階,5万円,1500円,-,5万円,1LDK,50.19m,https://suumo.jp/chintai/jnc_000053467755/?bc=100184012155
レジデンスIII,埼玉県鴻巣市北根,"ＪＲ高崎線/北鴻巣駅 歩71分,東武伊勢崎線/南羽生駅 歩78分,秩父鉄道/東行田駅 歩82分",築5年,2階建,1階,6.6万円,3500円,-,6.6万円,2LDK,54.91m,https://suumo.jp/chintai/jnc_000054837639/?bc=100157792775
コ－ポカンナ,東京都八王子市大楽寺町,"ＪＲ中央線/西八王子駅 歩44分,ＪＲ中央線/高尾駅 歩57分,京王高尾線/めじろ台駅 歩60分",築32年,2階建,1階,5万円,2000円,5万円,-,2K,33m,https://suumo.jp/chintai/jnc_000055104961/?bc=100183861054
ＪＲ宇都宮線 岡本駅 3階建 築5年,栃木県宇都宮市ゆいの杜６,"ＪＲ宇都宮線/岡本駅 歩71分,ＪＲ宇都宮線/宇都宮駅 バス50分 (バス停)壁梨バス停 歩6分,ＪＲ宇都宮線/宝積寺駅 歩86分",築5年,3階建,1階,7.5万円,3000円,-,15万円,2LDK,56.41m,https://suumo.jp/chintai/jnc_000054749206/?bc=100183575046
小田急江ノ島線 湘南台駅 2階建 築45年,神奈川県藤沢市宮原,"小田急江ノ島線/湘南台駅 バス25分 (バス停)宮原 歩5分,小田急江ノ島線/長後駅 バス18分 (バス停)用田橋 歩15分,小田急小田原線/海老名駅 バス18分 (バス停)用田橋 歩15分",築45年,2階建,1-2階,10.8万円,-,10.8万円,10.8万円,4LDK,105.99m,https://suumo.jp/chintai/jnc_000054875505/?bc=100183998130
二葉3丁目貸家B棟,東京都品川区二葉３,"ＪＲ横須賀線/西大井駅 歩5分,東急大井町線/戸越公園駅 歩10分,都営浅草線/中延駅 歩10分",築70年,2階建,1-2階,12.5万円,-,18.75万円,12.5万円,1LDK,48.6m,https://suumo.jp/chintai/jnc_000055090554/?bc=100184026167
二葉3丁目貸家B棟,東京都品川区二葉３,"ＪＲ横須賀線/西大井駅 歩5分,東急大井町線/戸越公園駅 歩10分,都営浅草線/中延駅 歩10分",築70年,2階建,1-2階,12.5万円,-,18.75万円,12.5万円,1LDK,48.6m,https://suumo.jp/chintai/jnc_000055084555/?bc=100184002764
二葉3丁目貸家B棟,東京都品川区二葉３,"ＪＲ横須賀線/西大井駅 歩5分,東急大井町線/戸越公園駅 歩10分,都営浅草線/中延駅 歩10分",築70年,2階建,1-2階,12.5万円,-,18.75万円,12.5万円,1LDK,48.6m,https://suumo.jp/chintai/jnc_000055145706/?bc=100184239664
ロメイン　II,群馬県佐波郡玉村町大字板井,"ＪＲ八高線/北藤岡駅 歩73分,ＪＲ高崎線/新町駅 歩72分,ＪＲ高崎線/倉賀野駅 歩82分",築2年,2階建,1階,5.1万円,2500円,-,5.1万円,1LDK,40.03m,https://suumo.jp/chintai/jnc_000054964087/?bc=100183691403
サンモール,茨城県つくば市春風台,つくばエクスプレス/つくば駅 歩74分,築2年,2階建,1階,5.1万円,4000円,10.2万円,-,1K,30.87m,https://suumo.jp/chintai/jnc_000054949531/?bc=100183714736
関東鉄道常総線 大田郷駅 2階建 築7年,茨城県筑西市関本下,"関東鉄道常総線/大田郷駅 歩69分,関東鉄道常総線/黒子駅 歩67分,ＪＲ水戸線/川島駅 歩73分",築7年,2階建,2階,5.1万円,2000円,-,-,2LDK,57.64m,https://suumo.jp/chintai/jnc_000055056653/?bc=100183892220
関東鉄道常総線 大田郷駅 2階建 築7年,茨城県筑西市関本下,"関東鉄道常総線/大田郷駅 歩69分,関東鉄道常総線/黒子駅 歩67分,ＪＲ水戸線/川島駅 歩73分",築7年,2階建,2階,5.3万円,2000円,-,-,2LDK,57.64m,https://suumo.jp/chintai/jnc_000054645924/?bc=100183892235
埼玉高速鉄道 川口元郷駅 3階建 築51年,埼玉県川口市領家３,"埼玉高速鉄道/川口元郷駅 歩25分,ＪＲ京浜東北線/川口駅 歩39分,東京メトロ南北線/赤羽岩淵駅 歩41分",築51年,3階建,2階,5.3万円,-,-,-,2DK,36.3m,https://suumo.jp/chintai/jnc_000051211742/?bc=100180272160
ＪＲ埼京線 武蔵浦和駅 2階建 築35年,埼玉県戸田市美女木１,ＪＲ埼京線/武蔵浦和駅 歩41分,築35年,2階建,2階,5.7万円,2000円,5.7万円,-,2DK,35.91m,https://suumo.jp/chintai/jnc_000055050004/?bc=100183860816
二葉3丁目貸家B棟,東京都品川区二葉３,"ＪＲ横須賀線/西大井駅 歩5分,東急大井町線/戸越公園駅 歩10分,都営浅草線/中延駅 歩10分",築70年,2階建,1階,12.5万円,-,18.75万円,12.5万円,1LDK,48.6m,https://suumo.jp/chintai/jnc_000055145704/?bc=100184245372
二葉3丁目貸家B棟,東京都品川区二葉３,"ＪＲ横須賀線/西大井駅 歩5分,東急大井町線/戸越公園駅 歩10分,都営浅草線/中延駅 歩10分",築70年,2階建,1階,16.5万円,-,24.75万円,16.5万円,2LDK,64.39m,https://suumo.jp/chintai/jnc_000055084554/?bc=100184002766
ＪＲ横須賀線 西大井駅 2階建 築70年,東京都品川区二葉３,"ＪＲ横須賀線/西大井駅 歩5分,東急大井町線/戸越公園駅 歩10分,都営浅草線/中延駅 歩10分",築70年,2階建,1階,12.5万円,-,18.75万円,12.5万円,1LDK,48.6m,https://suumo.jp/chintai/jnc_000055097603/?bc=100184200715
ディマーネ清澄白河,東京都江東区三好３,"東京メトロ半蔵門線/清澄白河駅 歩5分,都営新宿線/菊川駅 歩13分,都営大江戸線/清澄白河駅 歩5分",築68年,2階建,1-2階,14.6万円,-,14.6万円,14.6万円,3LDK,79.32m,https://suumo.jp/chintai/jnc_000024997695/?bc=100159780856
ブルック　ガーデン　II,埼玉県熊谷市板井,"ＪＲ高崎線/熊谷駅 バス28分 (バス停)桜丘 歩3分,東武東上線/小川町駅 バス29分 (バス停)桜丘 歩3分,湘南新宿ライン高海/熊谷駅 バス28分 (バス停)桜丘 歩3分",築6年,2階建,2階,5.8万円,2000円,-,-,2LDK,57.95m,https://suumo.jp/chintai/jnc_000031351885/?bc=100184117038
野火止６丁目貸家,埼玉県新座市野火止６,"ＪＲ武蔵野線/新座駅 歩18分,東武東上線/志木駅 歩24分,東武東上線/朝霞台駅 歩28分",築57年,2階建,1階,6万円,-,6万円,-,3K,46.27m,https://suumo.jp/chintai/jnc_000055062135/?bc=100183924551
ＪＲ総武本線 八街駅 2階建 築24年,千葉県八街市八街へ,ＪＲ総武本線/八街駅 歩50分,築24年,2階建,-,6.2万円,-,-,-,4LDK,92.53m,https://suumo.jp/chintai/jnc_000055062505/?bc=100183912795
西武新宿線 久米川駅 2階建 築33年,東京都東久留米市下里３,西武新宿線/久米川駅 歩42分,築33年,2階建,1-2階,6.8万円,2000円,6.8万円,-,3DK,59.4m,https://suumo.jp/chintai/jnc_000028387966/?bc=100133052919
青木貸家,東京都あきる野市草花,ＪＲ五日市線/東秋留駅 バス10分 (バス停)草花 歩6分,築47年,平屋,1階,7.2万円,-,7.2万円,-,3K,47.9m,https://suumo.jp/chintai/jnc_000053185810/?bc=100183892516
大町6丁目貸家,神奈川県鎌倉市大町６,"ＪＲ横須賀線/鎌倉駅 歩27分,ＪＲ横須賀線/鎌倉駅 バス4分 (バス停)名越 歩15分",築48年,2階建,1階,10.4万円,-,10.4万円,10.4万円,3LDK,96.26m,https://suumo.jp/chintai/jnc_000055011597/?bc=100183662276
東京メトロ有楽町線 月島駅 2階建 築74年,東京都中央区月島２,"東京メトロ有楽町線/月島駅 歩2分,都営大江戸線/勝どき駅 歩13分,ＪＲ京葉線/越中島駅 歩15分",築74年,2階建,1-2階,16万円,-,32万円,16万円,1DK,46.4m,https://suumo.jp/chintai/jnc_000054562448/?bc=100183605646
レジデンス青葉台,茨城県日立市西成沢町２,ＪＲ常磐線/日立駅 歩60分,築16年,3階建,2階,6.3万円,1000円,-,-,2LDK,45.92m,https://suumo.jp/chintai/jnc_000055002790/?bc=100183645321
高田山崎戸建,千葉県柏市高田,"ＪＲ常磐線/柏駅 歩30分,東武野田線/柏駅 歩30分,東武野田線/豊四季駅 歩31分",築43年,2階建,2階,6.5万円,-,6.5万円,-,5DK,79.16m,https://suumo.jp/chintai/jnc_000049843425/?bc=100158906689
茅ヶ崎シーサイドパレス,神奈川県茅ヶ崎市中海岸４,"ＪＲ東海道本線/茅ヶ崎駅 歩21分,ＪＲ東海道本線/茅ヶ崎駅 バス6分 (バス停)海水浴場前 歩1分",築54年,9階建,2階,6.3万円,5000円,6.3万円,6.3万円,ワンルーム,30.8m,https://suumo.jp/chintai/jnc_000054924403/?bc=100183895655
パルティールメゾン II R,栃木県鹿沼市茂呂,"ＪＲ日光線/鹿沼駅 歩70分,東武宇都宮線/西川田駅 車17分(8.0km),東北新幹線/宇都宮駅 車26分(11.1km)",築6年,2階建,2階,6.8万円,2000円,6.8万円,-,2LDK,64.79m,https://suumo.jp/chintai/jnc_000050162977/?bc=100184017024
栄ハイツ,神奈川県横浜市鶴見区栄町通１,"ＪＲ京浜東北線/鶴見駅 歩19分,京急本線/京急鶴見駅 歩17分,京急本線/鶴見市場駅 歩17分",築57年,2階建,2階,8万円,2000円,8万円,8万円,2DK,39.75m,https://suumo.jp/chintai/jnc_000053597137/?bc=100184052721
サニーコーポ三鷹,東京都三鷹市新川６,"ＪＲ中央線/三鷹駅 歩33分,ＪＲ中央線/吉祥寺駅 歩38分,京王井の頭線/三鷹台駅 歩31分",築44年,7階建,5階,8.5万円,-,8.5万円,-,1DK,29m,https://suumo.jp/chintai/jnc_000053745133/?bc=100183517922
新町3丁目戸建,東京都西東京市新町３,"西武新宿線/田無駅 歩18分,ＪＲ中央線/武蔵境駅 歩25分,西武新宿線/西武柳沢駅 歩28分",築51年,2階建,1階,20万円,-,20万円,20万円,7SLDK,157.11m,https://suumo.jp/chintai/jnc_000046832529/?bc=100183829168
Soldias,茨城県稲敷郡阿見町中央２,"ＪＲ常磐線/荒川沖駅 歩73分,ＪＲ常磐線/ひたち野うしく駅 歩98分,ＪＲ常磐線/土浦駅 歩88分",築1年,2階建,1階,5.2万円,4000円,5.2万円,-,1LDK,36m,https://suumo.jp/chintai/jnc_000055008841/?bc=100184025706
フォルチュナ,栃木県宇都宮市ゆいの杜２,"ＪＲ宇都宮線/岡本駅 歩61分,ＪＲ宇都宮線/宝積寺駅 歩78分",築14年,2階建,2階,5.5万円,-,5.5万円,5.5万円,1K,24.93m,https://suumo.jp/chintai/jnc_000050811063/?bc=100175007763
ＪＲ宇都宮線 宇都宮駅 2階建 築50年,栃木県宇都宮市峰４,"ＪＲ宇都宮線/宇都宮駅 バス20分 (バス停)峰小前 歩5分,東武宇都宮線/東武宇都宮駅 バス25分 (バス停)峰小前 歩5分,東北新幹線/宇都宮駅 バス20分 (バス停)峰小前 歩5分",築50年,2階建,1階,2.7万円,-,-,-,1K,16.5m,https://suumo.jp/chintai/jnc_000050339574/?bc=100091153541
西蒲田戸建,東京都大田区西蒲田３,"東急池上線/蓮沼駅 歩6分,東急池上線/池上駅 歩12分,ＪＲ京浜東北線/蒲田駅 歩14分",築68年,2階建,2階,13.7万円,-,13.7万円,-,2DK,50.13m,https://suumo.jp/chintai/jnc_000053385180/?bc=100184163532
